can_id,can_nam,spe_id,spe_nam,ele_typ,can_off_sta,can_off_dis,can_off,can_par_aff,exp_amo,exp_dat,agg_amo,sup_opp,pur,pay,file_num,amn_ind,tra_id,ima_num,rec_dat,prev_file_num,dissem_dt
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$1,132,195.85 ",11/23/15,"$6,141,465.04 ",Support,Media placement,Oath Strategies LLC,1034650,N,3,2.01512E+17,12/2/15, ,11/30/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$490,862.00 ",1/12/16,"$5,852,602.62 ",Support,Media Placement - also opposes Rubio,Oath Strategies LLC,1049268,N,1,2.01602E+17,2/12/16, ,1/26/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$523,916.00 ",1/12/16,"$5,361,740.62 ",Support,Media Placement - also opposes Rubio,Oath Strategies LLC,1049266,N,1,2.01602E+17,2/12/16, ,1/19/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$3,183.36 ",11/27/15,"$5,009,269.19 ",Support,Media Production,McCarthy Hennings Whalen Inc,1034403,N,4,2.01511E+17,11/26/15, ,11/25/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$38,955.42 ",11/23/15,"$5,006,085.83 ",Support,Direct mail production,Redwave Communications LLC,1034411,N,2,2.01511E+17,11/27/15, ,11/25/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$48,064.11 ",11/23/15,"$4,967,130.41 ",Support,Direct mail postage,Redwave Communications LLC,1034411,N,1,2.01511E+17,11/27/15, ,11/25/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,$336.16 ,11/13/15,"$4,919,066.30 ",Support,Media production,McCarthy Hennings Whalen Inc.,1033646,N,3,2.01511E+17,11/19/15, ,11/17/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,$65.00 ,11/18/15,"$4,918,730.14 ",Support,Media production,Revolution Agency,1033645,N,3,2.01511E+17,11/19/15, ,11/17/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$45,223.79 ",11/13/15,"$4,918,665.14 ",Support,direct mail production,The Stoneridge Group LLC,1033327,N,2,2.01511E+17,11/18/15, ,11/16/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$50,137.09 ",11/13/15,"$4,873,441.35 ",Support,direct mail postage,The Stoneridge Group LLC,1033327,N,1,2.01511E+17,11/18/15, ,11/16/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,$455.00 ,2/11/16,"$4,837,824.62 ",Support,Media Production,Revolution Agency,1049066,N,1,2.01602E+17,2/11/16, ,2/10/16
 ,"Rubio, Marco",C00571372,Right to Rise USA,P,SC,0,P, ,"$56,957.22 ",2/10/16,"$4,837,369.62 ",Oppose,Direct Mail Postage,Sun Solutions,1049064,N,2,2.01602E+17,2/11/16, ,2/10/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$8,056.07 ",11/13/15,"$4,823,304.26 ",Support,Media production,McCarthy Hennings Whalen Inc.,1032838,N,2,2.01511E+17,11/15/15, ,11/13/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$5,923.34 ",11/12/15,"$4,815,248.19 ",Support,Media production,McCarthy Hennings Whalen Inc.,1032838,N,1,2.01511E+17,11/15/15, ,11/13/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$1,052.50 ",11/9/15,"$4,809,324.85 ",Support,Media production,Revolution Agency,1032316,N,3,2.01511E+17,11/11/15, ,11/9/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,$963.13 ,10/2/15,"$4,808,272.35 ",Support,Media production,Revolution Agency,1032315,N,3,2.01511E+17,11/11/15, ,11/9/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$42,329.23 ",11/5/15,"$4,807,309.22 ",Support,Direct Mail Production,The Stoneridge Group,1032314,N,2,2.01511E+17,11/11/15, ,11/9/15
 ,"Rubio, Marco",C00571372,Right to Rise USA,P,SC,0,P, ,"$43,017.59 ",1/29/16,"$4,780,412.40 ",Oppose,Direct Mail Production,Redwave Communications LLC,1049064,N,1,2.01602E+17,2/11/16, ,2/10/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$60,111.65 ",11/5/15,"$4,764,979.99 ",Support,Direct Mail Postage,The Stoneridge Group,1032314,N,1,2.01511E+17,11/11/15, ,11/9/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$39,494.57 ",2/10/16,"$4,737,394.81 ",Support,Direct Mail Postage - also opposes Rubio & Kasich,The Stoneridge Group LLC,1049063,N,2,2.01602E+17,2/11/16, ,2/10/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$5,207.00 ",11/3/15,"$4,704,868.34 ",Support,Media production,Revolution Agency,1031952,N,1,2.01511E+17,11/5/15, ,11/3/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$6,739.00 ",11/3/15,"$4,699,661.34 ",Support,Media production,Revolution Agency,1031951,N,1,2.01511E+17,11/5/15, ,11/3/15
